record_id,artist_user_id,title,genre,release_date
record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,user_6ac27408-a0a6-4c57-a025-7b6854f7a8e3,Statement matter,Country,2020-01-12
record_3f71d3dd-362a-4286-90d1-8bf6466d1b57,user_6b7c5eb8-530c-4176-b438-6bce401b476b,Media behavior about,Pop,2023-07-14
record_c2864762-7089-48ce-b033-b2f7ed2a97d7,user_adb1c2d0-d859-48df-91eb-3bde3483f516,Able somebody like,Gospel,2021-02-09
record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,user_f10048b1-22b6-4946-9c64-ee72861f81a0,Big worry,Reggae,2020-11-15
record_417d61c1-3d0b-4ef3-833f-da2120fb043b,user_4507d621-9cf5-4b66-91df-970ae966ce6d,In group,Punk,2022-10-10
record_f274db0f-3a28-4781-9a00-dbacf5b902bf,user_6f33f39e-7659-4673-bd80-ca11394424b0,Pick administration,Punk,2023-02-08
record_c00d3a6d-4c37-4e29-b06a-a8d4dc87dc0a,user_fd0b54b6-0aa5-4cb0-8eec-502dc2c5307e,Need pressure way,Blues,2021-05-01
record_c252eed8-f791-419d-8ca7-2775472b71d7,user_3f05cd62-2de4-48e4-848b-09a680b6337a,Easy degree allow,Jazz,2022-07-25
record_670708cc-8ca1-4d8d-b792-ef2940a44d5a,user_8b404e7f-a42f-40f2-9422-69225efbabf9,Civil government find,Indie,2020-08-08
record_ca1d574c-b8c8-4837-a125-6ba041215b27,user_de985a55-c9fb-4872-9b5e-4e3abe43f4a2,Citizen well,Techno,2023-03-13
record_0f08dc7e-20ac-4997-8509-ef8fe382b38b,user_f6cb31b3-48fa-4cd1-a483-7a59189af5d1,Care total,R&B,2021-11-14
record_b53a4af3-f0e3-409f-a691-a4edf27000c5,user_482a8ed6-d5d3-4d7d-a617-19a5a59c2ab5,Mind security sure,Gospel,2023-02-03
record_d7d47df6-c08a-4336-a010-978c892a13b4,user_1531f5ab-c72f-46c6-bfdb-2458530c9f40,Finish foot,Indie,2020-08-01
record_e13cd219-d380-4904-9aaf-6e6535c61670,user_ef41dd17-6885-4103-a9d1-038645ef0a7a,Than laugh smile,Reggae,2022-02-10
record_ca1666b6-b398-4ced-b369-e32578a09784,user_39c8d999-40e5-4fd0-9cd5-96a93239abee,College right interview,Punk,2023-12-06
record_345edc54-3799-4504-bee6-8165c1eeba99,user_f4e4f063-03e7-4840-bb1e-19c4fecc6c48,Especially condition,Latin,2020-09-02
record_14e81935-1e58-4050-b2b8-ab873a0107a9,user_2913a0bf-a8c0-401e-9b73-aa7c2544888a,Audience star apply,Pop,2020-11-30
record_644384f1-86b4-419a-b733-3a27d279abd5,user_3fbded9d-d59a-435c-863f-55f0b086f01e,End build different,R&B,2021-03-14
record_66f81619-1bf3-4784-bd94-9c3adeeb5785,user_9ebe7a86-09cf-406d-9ba2-20a751d16f03,Sit pay political,Reggae,2021-04-15
record_75c4220a-93ad-4ec4-8010-a1aef0adfe31,user_fd5f9010-b064-46bd-b770-8ab5edcc59d8,Market until somebody,Soul,2021-04-04
