review_id,user_id,record_id,rating,body,posted_at
review_0c34b6bd-431b-4928-b022-3488c9a3dd9f,user_38eaa9f8-e8fc-4ce4-a8ae-ffb882c1786c,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,2,,2024-01-02 02:37:06
review_f0d27087-edcd-4a68-8275-7047a30be1c4,user_4cd1d47b-00dc-4170-a0a7-6c6a74496371,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,4,,2024-01-22 03:39:19
review_78503048-5dad-46c5-a451-612ec3ec0b95,user_6992006b-130a-4ec4-ae76-ebf8739ccf0b,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,5,,2024-01-03 11:24:32
review_38b05cec-9546-40b9-a1df-6c9dfa6bbe64,user_f0cc11bf-20d6-4830-8418-e8bb1c7d8899,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,3,,2024-02-23 07:48:02
review_032ced3e-b7e8-49d4-bd01-b8552ea6b2aa,user_00b96163-8656-463c-b5f9-3373f0d8ef8f,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,3,,2024-04-21 00:18:55
review_57d27cc6-9124-4a66-8a27-01022d14f280,user_89b06832-50b8-460c-acb6-990346ba712c,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,5,,2024-09-15 17:06:35
review_5322deeb-6d72-4562-8f68-dd263be9fb46,user_0d29d7f5-4482-4c26-8c28-7a5538603482,record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,2,,2024-08-13 05:46:09
review_4787c702-c412-46a8-b413-3211558c4514,user_00b96163-8656-463c-b5f9-3373f0d8ef8f,record_3f71d3dd-362a-4286-90d1-8bf6466d1b57,3,,2024-02-08 22:39:25
review_9dc65e4f-6444-45e5-b2d9-ecc48b92161d,user_bfdc5dc7-5680-4af2-8ab7-84155babef91,record_3f71d3dd-362a-4286-90d1-8bf6466d1b57,4,,2024-06-02 07:31:03
review_b7c356e5-333d-4bda-9ba3-1f6d0129a88e,user_9e48cbb4-0bf9-43fc-a578-213fae51068b,record_3f71d3dd-362a-4286-90d1-8bf6466d1b57,4,Government wait appear. Necessary life purpose still. Address close last economy forward bad debate. Stand government nearly say keep analysis.,2024-08-23 10:01:46
review_6cc45c70-9abc-42d0-a33c-00c7561f7e4e,user_3f05cd62-2de4-48e4-848b-09a680b6337a,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,2,,2024-01-08 07:49:50
review_8bdf5df9-9413-460e-b0e6-db13f1cb81f6,user_45b6bfb5-8583-4674-b00c-98156f632a17,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,1,,2024-03-11 10:37:34
review_fa02345a-fece-40d6-9403-45d247186326,user_4abdb786-0853-4401-87f5-21415dfc2670,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,4,,2024-02-28 03:07:42
review_62660799-4eb7-4abd-a06e-f41cb14fd3f9,user_a02449e3-a328-47db-99e3-3ea3acf0f7ef,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,4,,2024-07-10 05:35:20
review_c587c5a1-6bd5-4f27-b476-7ace5565af87,user_bbd5b1a2-0b2a-49c2-82e9-f458c503d70c,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,4,,2024-07-08 18:49:39
review_7f596814-9892-4792-ae6b-2972ab138f3a,user_d56cafca-9e34-4bf5-be9d-a2c357ffb0d5,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,4,,2024-07-18 22:03:21
review_b7c95b7f-ec41-44cb-89e5-cff6c8f7c6f9,user_2fb8b2ca-197c-4c80-8129-edbc7745e89c,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,0,,2024-03-30 04:51:19
review_a344cec8-c4c2-47f4-9a75-6f3eb769e6fd,user_81b9d067-7877-43cf-9793-6fb5ea6f4921,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,1,,2024-04-15 00:24:14
review_fd693cdf-ebd6-4efd-b5ae-a0cb348b7d48,user_514187d3-d0c2-4f5e-8389-da1e49c21241,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,2,,2024-03-26 18:25:57
review_adc5cbaf-3691-4c39-be88-2bccf902fd6d,user_a5bef8b6-f8f0-47e1-8533-c48e6c257429,record_c2864762-7089-48ce-b033-b2f7ed2a97d7,1,,2024-06-29 07:57:12
review_5bf8faa4-a1c5-496b-9503-b54fa80223b2,user_f6cb31b3-48fa-4cd1-a483-7a59189af5d1,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,1,,2024-05-31 12:22:07
review_0e26dde2-84b9-4bd7-8d88-c89a785e7042,user_df3e7ef1-4a35-451b-9ee0-539f4dc29e93,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,1,,2024-02-04 05:14:25
review_9b17dc44-0354-4190-b485-7d25492eb86f,user_45819e1a-5ad4-4075-8830-87c77eb66975,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,4,,2024-05-20 19:12:17
review_f4050682-f813-491f-bf15-d59d6377c0b4,user_35f3d622-8f29-4596-8aad-1a8b77b83826,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,2,,2024-07-17 02:56:40
review_e5fe3c03-248d-470d-b9fc-dacedf960920,user_be70d0e1-070d-49e6-9d38-bc3b50036361,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,4,Usually loss short answer almost language. Prove pressure grow seat dog fish. Truth both down. Little college particularly film why picture. Student service sing education others.,2024-07-18 11:07:52
review_25c969e9-3885-44c3-a0e0-800e86fd3a17,user_4446443c-6465-4e16-8990-ebbf428036dd,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,2,,2024-02-28 14:16:23
review_fec306cd-3c69-4dbe-afdb-8bba783c091e,user_720b6abd-7e93-4302-91da-1fabf88366d7,record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,3,,2024-09-16 22:02:47
review_74f2aca0-90c7-40ef-bd15-25914fb78e39,user_3c5d30bc-0ac2-4df1-8574-892d2f666df6,record_417d61c1-3d0b-4ef3-833f-da2120fb043b,4,,2024-04-09 05:34:57
